signal,choice,contrast
-0.52203,0,4.8828
-0.011531,1,4.8828
-0.3971,0,3.9062
-0.78879,0,3.9062
0.44207,0,3.125
-0.83828,1,3.125
0.41214,1,2.5
-0.25275,1,2.5
0.18579,0,2
0.69222,1,2
-0.19885,1,1.6
-0.55064,1,2
-0.29967,1,2
0.51857,0,2.5
0.66068,1,3.125
-0.4407,1,3.125
0.75799,1,2.5
-0.53514,1,2.5
0.47426,1,2
0.34961,1,2.5
-0.37433,1,2.5
0.11441,1,2
0.47666,1,2
0.29311,0,1.6
0.27477,1,1.6
0.45583,1,2
0.9787,1,2
-0.37665,1,2.5
0.15172,0,2.5
0.19981,1,2
0.38069,0,2
0.41538,0,2.5
0.32957,1,3.125
0.7722,1,3.125
0.19495,0,2.5
-0.26871,0,3.125
-0.30718,0,3.9062
0.25447,0,3.9062
-0.096591,1,4.8828
-0.32323,1,4.8828
0.00014565,0,3.9062
0.010638,0,3.9062
-0.0050174,0,3.125
-0.16552,1,3.125
0.2639,1,2.5
0.62013,1,2.5
0.10993,1,2
-0.007128,0,2
0.24223,1,1.6
